Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
1;GUANABARA - URB;6162;4.428;2.523;9.935;1.744;37;4.034;2.265;2.113;10.207;528;1.624
1;GUANABARA - URB;6443;6.334;3.930;16.608;3.383;9;5.265;2.291;3.625;15.764;1.473;1.118
1;GUANABARA - URB;7501;92;66;945;42;0;189;22;342;289;0;38
1;GUANABARA - URB;7502;805;473;1.796;383;0;710;310;457;2.302;0;189
1;GUANABARA - URB;7601;173;90;351;91;0;234;76;52;580;442;43
1;REUNIDAS;7;13.130;8.374;48.587;11.738;172;9.281;3.497;8.449;39.188;3.761;3.580
1;REUNIDAS;26;16.306;13.191;52.962;14.959;174;8.405;4.374;8.904;44.674;4.667;3.435
1;REUNIDAS;27;10.416;5.624;26.393;5.463;115;11.036;4.581;5.881;30.846;3.790;3.082
1;REUNIDAS;35;14.300;8.069;35.898;11.112;813;13.376;6.317;9.356;30.393;2.981;2.757
1;REUNIDAS;68;8.916;4.619;25.973;5.597;143;8.513;3.047;6.133;25.248;1.927;2.379
1;REUNIDAS;73;28.651;26.224;109.054;31.024;384;17.342;9.219;14.829;83.849;10.139;5.191
1;REUNIDAS;85;9.871;4.537;18.944;5.720;580;9.320;4.060;5.593;19.144;0;2.187
1;REUNIDAS;1029;14.709;10.110;44.614;12.378;107;10.595;4.329;7.710;34.645;3.601;2.754
1;REUNIDAS;1778;2.019;1.367;6.035;1.236;29;1.958;979;1.096;5.531;1.084;595
1;REUNIDAS;6443;6.513;3.888;17.518;3.994;7;5.543;2.303;4.189;16.545;1.680;1.141
1;REUNIDAS;7847;13.412;9.344;33.392;7.185;84;10.822;4.716;8.496;33.558;4.060;2.662
1;REUNIDAS;9018;13;23;274;447;0;377;9;27;215;30;94
1;SANTA MARIA - URB;24;12.272;7.761;32.366;11.712;0;10.384;5.396;8.682;29.716;960;3.369
1;SANTA MARIA - URB;34;4.581;3.175;10.317;3.320;0;8.436;4.382;2.684;13.664;0;1.642
1;SANTA MARIA - URB;36;5.188;3.961;15.486;5.544;0;8.122;3.762;3.304;17.710;1.528;2.108
1;SANTA MARIA - URB;37;15.973;13.861;29.821;11.368;0;11.552;6.320;8.062;34.865;1.780;3.666
1;SANTA MARIA - URB;38;21.493;15.394;47.010;13.389;0;30.727;14.362;10.733;70.146;7.300;4.370
1;SANTA MARIA - URB;39;11.847;7.524;31.617;9.293;0;8.434;3.625;6.428;23.244;1.250;3.318
1;SANTA MARIA - URB;44;10.423;8.871;24.632;7.502;0;12.389;6.980;6.509;29.383;1.376;3.398
1;SANTA MARIA - URB;46;13.216;12.504;27.681;12.297;0;6.787;5.009;7.025;36.598;2.613;2.933
1;SANTA MARIA - URB;48;7.800;6.288;14.389;5.570;0;7.993;4.339;3.304;19.739;1.926;2.136
1;SANTA MARIA - URB;54;15.427;14.123;34.835;12.859;0;10.901;7.689;7.531;46.445;4.291;3.586
1;SANTA MARIA - URB;56;4.868;3.550;28.279;12.786;0;3.341;1.724;3.926;22.846;1.556;2.446
1;SANTA MARIA - URB;66;4.485;4.450;14.160;1.774;0;3.294;1.780;2.793;18.434;2.148;2.216
1;SANTA MARIA - URB;83;4.634;4.005;16.881;1.327;0;3.659;1.308;2.639;18.402;2.549;1.406
1;SANTA MARIA - URB;331;6.611;3.804;15.197;3.200;0;3.927;1.486;4.273;12.956;2.329;1.342
1;SANTA MARIA - URB;332;1.560;903;3.699;891;0;936;395;944;2.650;128;544
1;SANTA MARIA - URB;411;3.703;2.037;7.379;2.800;0;3.395;1.093;1.797;7.971;662;760
1;SANTA MARIA - URB;561;74;133;2.347;475;0;142;0;232;762;41;312
1;VIA SUL - URB;50;21.051;15.801;67.308;19.055;123;14.408;7.133;11.952;52.974;4.153;4.824
1;VIA SUL - URB;51;11.934;10.293;22.966;8.158;0;9.196;5.061;6.286;26.821;807;3.305
1;VIA SUL - URB;52;10.095;8.637;21.692;6.954;0;10.518;6.146;5.386;27.179;1.395;3.212
1;VIA SUL - URB;65;6.040;5.023;13.211;3.899;0;4.208;1.977;3.206;12.702;0;1.788
2;CONCEIÇÃO;21;16.306;10.083;32.438;8.077;0;15.531;6.879;6.463;40.613;1.566;3.427
2;CONCEIÇÃO;22;5.791;3.447;11.859;2.818;0;7.473;2.933;2.150;14.547;0;1.545
2;CONCEIÇÃO;30;11.796;6.670;19.350;5.150;0;6.736;3.114;4.424;20.352;587;2.265
2;CONCEIÇÃO;31;13.811;7.279;20.240;7.482;0;6.779;2.964;5.200;20.300;0;2.144
2;CONCEIÇÃO;41;8.468;4.264;18.618;7.669;0;5.443;2.810;3.981;13.315;0;1.926
2;CONCEIÇÃO;59;9.558;6.125;19.844;6.561;0;11.806;3.874;4.242;25.451;1.471;2.362
2;CONCEIÇÃO;63;31.560;17.015;41.335;16.908;0;14.321;5.512;7.125;39.035;654;3.561
2;CONCEIÇÃO;71;9.930;6.024;18.301;3.558;0;10.125;3.864;2.892;23.497;1.479;2.137
2;CONCEIÇÃO;76;3.024;1.629;6.400;1.316;52;3.202;1.059;1.297;7.805;214;582
2;CONCEIÇÃO;83;5.444;4.302;13.452;1.110;0;2.908;1.017;2.348;16.433;1.077;1.157
2;CONCEIÇÃO;411;6.044;3.245;10.017;4.162;0;4.615;1.533;2.556;10.517;152;1.005
2;CONCEIÇÃO;587;62;13;71;21;0;164;39;24;549;0;434
2;CONCEIÇÃO;599;5.566;2.898;13.382;5.033;0;4.404;730;3.118;9.159;259;1.336
2;CONCEIÇÃO;905;162;230;829;19;0;199;10;48;712;75;208
2;CONCEIÇÃO;2369;661;368;1.481;962;0;933;394;263;1.352;0;339
2;CONCEIÇÃO;3001;2.151;1.193;3.717;1.441;0;1.349;653;964;3.322;166;617
2;CONCEIÇÃO;3101;1.059;610;1.988;841;0;576;305;489;1.729;0;313
2;CONCEIÇÃO;6301;4.608;2.920;10.086;2.525;0;3.172;1.157;1.619;8.564;1.193;1.117
2;CONCEIÇÃO;7601;96;45;294;45;0;160;53;37;346;511;34
2;DUNAS - URB;33;35.686;23.592;66.193;18.635;0;17.940;6.532;14.834;65.449;2.643;4.443
2;DUNAS - URB;40;27.121;17.014;47.803;16.257;0;28.774;11.481;10.747;65.837;1.706;4.117
2;DUNAS - URB;57;2.158;1.164;2.705;1.023;0;1.379;463;831;2.538;0;464
2;DUNAS - URB;331;11.588;5.935;18.454;3.843;0;5.098;1.954;5.291;17.771;932;1.395
2;DUNAS - URB;332;2.251;1.106;4.118;892;0;955;370;1.091;2.861;185;555
2;DUNAS - URB;411;3.726;2.014;6.562;2.710;0;2.774;805;1.626;6.977;230;658
2;GUANABARA - URB;2;13.493;7.810;33.288;7.138;141;7.512;3.433;5.682;27.266;640;2.171
2;GUANABARA - URB;4;9.276;7.671;28.640;6.209;0;4.058;2.299;3.427;21.334;597;1.933
2;GUANABARA - URB;5;5.521;3.101;12.248;1.768;99;4.402;2.192;1.985;15.891;563;1.259
2;GUANABARA - URB;8;22.824;12.361;45.134;17.279;527;17.469;6.001;8.706;43.165;3.495;2.928
2;GUANABARA - URB;13;8;6;23;4;0;6;5;3;66;0;7
2;GUANABARA - URB;18;447;128;665;240;0;53;20;136;210;0;49
2;GUANABARA - URB;19;5.147;3.325;11.215;3.625;0;8.353;3.954;2.693;14.310;218;1.653
2;GUANABARA - URB;20;6.271;4.077;12.643;4.059;0;10.186;5.747;3.073;16.488;303;1.999
2;GUANABARA - URB;25;5.728;2.848;7.109;2.216;0;4.418;2.585;1.356;9.162;0;1.216
2;GUANABARA - URB;60;24.245;13.844;55.141;10.517;210;12.060;5.351;9.392;43.544;1.329;3.288
